Date;23-9-2021;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE
932780;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BERGOSS TAPIJT.;BERGOSS TAPIJTFABRIEK;BERGOSS TAPIJTFABRIEK;NA
922960;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BERKEL'S PATENT DEAD - DELIST.04/01/93;BERKEL'S PATENT DEAD - DELIST.04/01/93;BERKEL'S PATENT;NL0000339612
505403;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BESOUW VAN 1/26 CERT.;BESOUW VAN 1/26 CERTIFICATE;BESOUW VAN 4% STOCK CERTIFICATE;NA
772701;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BESOUW(VAN CERTS.) DEAD - DELIST 18/07/97;BESOUW(VAN CERTIFICATES) DEAD - DELIST 18/07/97;BESOUW HOLDING VAN;NL0000440071
993284;Y;EQ;P;UNITED STATES;NETHERLANDS;U$;N/A;BETHLEHEM STEEL (AMS) DEAD - DEAD 14/01/04;BETHLEHEM STEEL (AMS) DEAD - DEAD 14/01/04;BETHLEHEM STEEL CORPORATION;NA
882143;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BETHLEHEM STL.CERTS(AMS) DEAD - DELIST.25/09/00;BETHLEHEM STEEL CERTS(AMS) DEAD - DELIST.25/09/00;BETHLEHEM STEEL CERTIFICATES;NL0000455152
679311;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEURS ROTTERDAM DEAD - DEAD;BEURS ROTTERDAM DEAD - DEAD;BEURS ROTTERDAM;NL0000205268
41228V;N;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BEVER HOLDINGAG DEAD - 27/09/06;BEVER HOLDINGAG DEAD - 27/09/06;BEVER HOLDING NV;NL0000286888
671026;Y;EQ;S;GERMANY;NETHERLANDS;E;DE;BEWAG (AMS) DEAD - MERGER 916970;BEWAG (AMS) DEAD - MERGER 916970;BEWAG AG;DE0005303002
912706;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BIJENKORF KON. DEAD - T/O BY 143724;BIJENKORF KONINKLIJKE DEAD - T/O BY 143724;BIJENKORF KONINKLIJKE;NL0000343655
702063;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BINCKBANK DEAD - DELIST.26/09/19;BINCKBANK DEAD - DELIST.26/09/19;BINCKBANK NV;NL0000335578
932781;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BLYDENSTEIN-WILLINK DEAD - 16/01/07;BLYDENSTEIN-WILLINK DEAD - 16/01/07;BLYDENSTEIN-WILLINK NV;NL0000340347
932782;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BLYSTEIN FL.1000;BLYSTEIN FLORIN 1000;BLYSTEIN FLORIN;NA
932761;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BOBEL DEAD - DELIST.23/10/91;BOBEL DEAD - DELIST.23/10/91;BOBEL;NA
152004;N;EQ;P;UNITED STATES;NETHERLANDS;E;NL;BOEING CO CT (AMS) DEAD - DEAD 15/04/04;BOEING CO CT (AMS) DEAD - DEAD 15/04/04;THE BOEING COMPANY;NL0000455335
504713;N;EQ;P;UNITED STATES;NETHERLANDS;U$;N/A;BOEING 50% STK.;BOEING 50% STOCK;THE BOEING COMPANY;NA
950619;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BOLS LUCAS;BOLS LUCAS;BOLS LUCAS;NA
923538;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BOLS LUCAS CERTS. MERGER SEE 308977;BOLS LUCAS CERTIFICATES MERGER SEE 308977;BOLS LUCAS CERTIFICATES;NA
929310;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BORSUMIJ WEHRY DEAD - DELIST.20/10/95;BORSUMIJ WEHRY DEAD - DELIST.20/10/95;BORSUMIJ WEHRY;NL0000341394
932784;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BORSUMIJ-WEHRY;BORSUMIJ-WEHRY;BORSUMIJ WEHRY;NA
998413;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BOSCH EN KEUNING DEAD - DEAD;BOSCH EN KEUNING DEAD - DEAD;BOSCH EN KEUNING;NL0000440105
729243;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BOSKALIS PF. (CONV.SEE - 922358);BOSKALIS PREFERRED (CONVERSION SEE - 922358);BOSKALIS PREFERRED;NA
50788N;N;CF;P;NETHERLANDS;NETHERLANDS;E;GG;BOUSSARD AND GAVAUDAN HOLDING;BOUSSARD AND GAVAUDAN HOLDING;BOUSSARD GAVAUDAN E;GG00B1XFMJ13
690789;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BRAKKE GROND EXP. DEAD - 27/04/09;BRAKKE GROND EXPLORATION DEAD - 27/04/09;BRAKKE GROND EXPLORATION;NL0000342251
921073;N;EQ;P;NETHERLANDS;NETHERLANDS;FL;N/A;BREDERO VASTGOED;BREDERO VASTGOED;BREDERO VEREENIGDE BEDRIJVEN;NA
916656;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BREDERO VERN.BEDR. DEAD - DELIST.17/12/96;BREDERO VEREENIGDE BEDRIJVEN DEAD - DELIST.17/12/96;BREDERO VEREENIGDE BEDRIJVEN;NL0000342632
