Date;23-9-2021;;;;;;;;;;;
Type;MAJOR FLAG;STOCK TYPE;QUOTE INDICATOR;GEOGRAPHIC DESCR.;GEOG DESC OF LSTNG;CURRENCY;ISIN ISSUER CTRY;NAME;FULL NAME;COMPANY NAME;ISIN CODE;CURRENCY
929316;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;BUHRMANN-TETT. DEAD - DELIST 20/10/76;BUHRMANN-TETTERODE DEAD - DELIST 20/10/76;BUHRMANN-TETTERODE;NL0000343119;FL
50675K;Y;EQ;P;NETHERLANDS;UNITED KINGDOM;E;NL;BURANI DESIGNER HLDG. (DI);BURANI DESIGNER HOLDING (DI);BURANI DESIGNER HOLDING NV;NL0000886521;E 
932831;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;BURGMAN HEYBROEK DEAD - DEAD 01/08/03;BURGMAN HEYBROEK DEAD - DEAD 01/08/03;BURGMAN HEYBROEK NV;NL0000362432;E 
930349;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CALVE DELFT;CALVE DELFT;CALVE-DELFT;NL0000343846;E 
27189N;Y;EQ;P;UNITED KINGDOM;UNITED KINGDOM;£;N/A;CAMPINA MELKUNIE B V;CAMPINA MELKUNIE B V;CAMPINA MELKUNIE B V;NA;£ 
772746;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CAP GEMINI GROUP DEAD - DELIST 30/05/01;CAP GEMINI GROUP DEAD - DELIST 30/05/01;CAP GEMINI GROUP NV;NL0000344000;E 
676630;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CARDIO CONTROL NM DEAD - DEAD;CARDIO CONTROL NM DEAD - DEAD;CARDIO CONTROL NM;NL0000344059;E 
298717;Y;EQ;P;GERMANY;GERMANY;E;NL;CATALIS (MUN) DEAD - DELIST.23/08/18;CATALIS (MUN) DEAD - DELIST.23/08/18;CATALIS SE;NL0012293955;E 
702880;Y;EQ;P;NETHERLANDS;NETHERLANDS;FL;NL;CENTER PARCS DEAD - DELIST 12/12/90;CENTER PARCS DEAD - DELIST 12/12/90;CENTER PARCS;NL0000344117;FL
27507K;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;CENTRAAL BEHEER NA DEAD - DEAD;CENTRAAL BEHEER NA DEAD - DEAD;CENTRAAL BEHEER NA;NA;E 
142445;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CETECO DEAD - 16/04/10;CETECO DEAD - 16/04/10;CETECO;NL0000344315;E 
889639;Y;EQ;P;UNITED STATES;UNITED STATES;U$;US;CHICAGO BDG.&IO. DEAD - DELIST.11/05/18;CHICAGO BRIDGE &IRON DEAD - DELIST.11/05/18;CHICAGO BRIDGE & IRON NV;US1672501095;U$
31737V;Y;EQ;P;UNITED STATES;UNITED STATES;U$;IE;CIMPRESS;CIMPRESS;CIMPRESS PUBLIC LIMITED COMPANY;IE00BKYC3F77;U$
932796;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CINDU INTERNATIONAL DEAD - DELIST 18/06/99;CINDU INTERNATIONAL DEAD - DELIST 18/06/99;CINDU INTERNATIONAL NV;NL0000344513;E 
9271JC;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;NL;CM COM;CM COM;CM COM NV;NL0012747059;E 
9518YY;Y;EQ;P;NETHERLANDS;NETHERLANDS;E;N/A;CM COM (WI) POSTPONED DEAD - DELETE.21/02/20;CM COM (WI) POSTPONED DEAD - DELETE.21/02/20;CM COM BV;NA;E 
